"category","word","meaning","example","translation","count"
"phrasal verbs","do away with /du əˈweɪ wɪð/","to eliminate or abolish something","The school decided to do away with uniforms next year.","loại bỏ",0
"phrasal verbs","do up /du ʌp/","to fasten clothing or similar items","Make sure to do up your shirt before the meeting.","cài",0
"phrasal verbs","drum up /drʌm ʌp/","to encourage interest or support for something","The campaign team is trying to drum up more support before the election.","lôi kéo khách hàng cho",0
"phrasal verbs","dry up (1) /draɪ ʌp/","to lose all moisture and become completely dry","After weeks without rain, the pond eventually dried up.","cạn khô, ráo nước",0
"phrasal verbs","dry up (2) /draɪ ʌp/","to no longer be available or exist","Funding for the program dried up after the first year.","hết",0
"phrasal verbs","end up /ɛnd ʌp/","to finally be in a particular state or place","He ended up working in a completely different field than he studied.","có kết cục/ kết thúc",0
"phrasal verbs","face up to /feɪs ʌp tə/","to confront or accept a difficult situation","You need to face up to your responsibilities.","đương đầu, đối mặt",0
"phrasal verbs","fade away /feɪd əˈweɪ/","to gradually disappear or become less noticeable","His memories of childhood began to fade away over time.","dần biến mất",0
"phrasal verbs","fall behind /fɔːl bɪˈhaɪnd/","to not keep up with progress or pace compared to others","She fell behind in her studies after missing a few weeks of class.","tụt hậu",0
"phrasal verbs","fall behind /fɔːl bɪˈhaɪnd/ 2","to lag physically behind others while moving","He fell behind the group during the hike because of his injury.","tụt lại phía sau",0
"phrasal verbs","figure out /ˈfɪɡər aʊt/","to understand something or find an answer to a problem","It took them hours to figure out how the machine works.","hiểu được, tìm ra",0
"phrasal verbs","fix up /fɪks ʌp/","to repair or improve something","They fixed up the old house before moving in.","sửa chữa, phục hồi",0
"phrasal verbs","follow up /ˈfɑːləʊ ʌp/","to continue checking on someone's health after treatment","She was advised to come in next month for a follow-up appointment.","theo dõi sức khỏe",0
"phrasal verbs","follow up /ˈfɑːləʊ ʌp/ 2","to investigate or act further on something","Detectives are following up new tips from the public.","điều tra thêm",0
"phrasal verbs","get across /ɡet əˈkrɒs/","to communicate an idea clearly","She used visuals to get her point across effectively.","truyền đạt",0
"phrasal verbs","get (a)round /ɡet əˈraʊnd/","to become widely known or spread","Word got around quickly about the company’s sudden closure.","trở nên phổ biến",0
"phrasal verbs","get down /ɡet daʊn/","to cause someone to feel depressed or discouraged","The constant rain is really getting me down.","làm buồn/ thất vọng",0
"phrasal verbs","get in /ɡet ɪn/","to be elected to a political position","She got in with a narrow majority of votes.","được bầu chọn",0
"phrasal verbs","get into /ɡet ˈɪntuː/","to become involved in something negative","He got into trouble after joining the wrong crowd.","dính phải, vướng vào",0
"phrasal verbs","get into /ɡet ˈɪntuː/ 2","when a vehicle arrives at a place","The train gets into London at 7 PM.","đến nơi",0
"phrasal verbs","get into /ɡet ˈɪntuː/ 3","to start becoming interested or engaged in something","She really got into painting during the summer.","bắt đầu thích",0
"phrasal verbs","get off /ɡet ɒf/","to send something, like a letter or package","I'll send out those invitations tomorrow.","gửi",0
"phrasal verbs","get over /ɡet ˈəʊvər/","to overcome or find a solution to a problem","We still have a few major challenges to overcome before opening.","giải quyết",0
"phrasal verbs","get over /ɡet ˈəʊvər/ 2","to recover emotionally after a bad experience or relationship","Recovering from something like that could take weeks.","vượt qua (chuyện buồn)",0
"phrasal verbs","get through /ɡet θruː/","to complete a task or go through something difficult","I’ve got a huge workload to get through today.","hoàn thành",0
"phrasal verbs","get through /ɡet θruː/ 2","to survive or handle a difficult experience","I still can’t believe how we managed to survive that.","sống sót, vượt qua",0
"phrasal verbs","get through /ɡet θruː/ 3","to consume or use up something","We use up a liter of milk every single day.","dùng, sử dụng",0
"phrasal verbs","get through (to) /ɡet θruː/","to successfully connect a call","I tried phoning him, but I couldn’t get through.","nối máy",0
"phrasal verbs","get through (to) /ɡet θruː/ 2","to make someone understand what you're saying","The teacher struggles to get his message across to some students.","truyền đạt, giải thích",0
"phrasal verbs","give in /ɡɪv ɪn/","to stop resisting a temptation or desire","Eventually, I gave in and had some cake.","thỏa hiệp",0
"phrasal verbs","give in /ɡɪv ɪn/ 2","to stop resisting and accept defeat","Eventually, I gave in and admitted she was right.","chịu thua",0
"phrasal verbs","go astray /ɡəʊ əˈstreɪ/","to become lost or end up in the wrong place","We got lost but managed to find our way again.","bị lạc đường",0
"phrasal verbs","go down (well/badly) (with sb) /ɡəʊ daʊn/","to be received in a particular way","The rent increase wasn’t well received by the tenants.","(không) được đón nhận (bởi ai)",0
"phrasal verbs","go in for /ɡəʊ ɪn fər/","to choose a subject or profession","I’m planning to pursue a career in dentistry.","theo đuổi ngành/nghề",0
"phrasal verbs","go in for /ɡəʊ ɪn fər/ 2","to enjoy a specific activity","My father never really enjoyed attending parties.","thích, hưởng ứng",0
"phrasal verbs","go off /ɡəʊ ɒf/","to explode or be triggered","A bomb exploded at the mall yesterday.","phát nổ",0
"phrasal verbs","go off /ɡəʊ ɒf/ 2","for food or drink to spoil","This milk smells like it’s gone bad to me.","bị ôi thiu",0
"phrasal verbs","go off /ɡəʊ ɒf/ 3","to leave a place for a reason","Pete just stepped out to buy chewing gum.","rời đi",0
"phrasal verbs","go off /ɡəʊ ɒf/ 4","to stop liking something or someone","For some reason, I’m no longer into peanuts.","không còn ưa thích",0
"phrasal verbs","go together /ɡəʊ təˈɡeðər/","to often exist at the same time","Why are poverty and crime so often linked?","đi liền với nhau",0
